"index_ts","date","metric","value"
"nasdaq_100_ndx","2025-01-23","close_adjusted",21900.9296875
"nasdaq_100_ndx","2025-01-23","close",21900.9296875
"nasdaq_100_ndx","2025-01-22","high",21943.0390625
"nasdaq_100_ndx","2025-01-22","close",21853
"nasdaq_100_ndx","2025-01-22","close_adjusted",21853
"nasdaq_100_ndx","2025-01-22","volume",7219060000
"nasdaq_100_ndx","2025-01-22","open",21756.23046875
"nasdaq_100_ndx","2025-01-22","low",21756.23046875
"nasdaq_100_ndx","2025-01-21","close_adjusted",21566.509765625
"nasdaq_100_ndx","2025-01-21","low",21379.060546875
"nasdaq_100_ndx","2025-01-21","volume",8015780000
"nasdaq_100_ndx","2025-01-21","open",21557.8203125
"nasdaq_100_ndx","2025-01-21","close",21566.509765625
"nasdaq_100_ndx","2025-01-21","high",21620.23046875
"nasdaq_100_ndx","2025-01-17","open",21461.900390625
"nasdaq_100_ndx","2025-01-17","close",21441.16015625
"nasdaq_100_ndx","2025-01-17","volume",7996360000
"nasdaq_100_ndx","2025-01-17","close_adjusted",21441.16015625
"nasdaq_100_ndx","2025-01-17","high",21515.759765625
"nasdaq_100_ndx","2025-01-17","low",21334.630859375
"nasdaq_100_ndx","2025-01-16","close",21091.25
"nasdaq_100_ndx","2025-01-16","volume",7085990000
"nasdaq_100_ndx","2025-01-16","open",21324.98046875
"nasdaq_100_ndx","2025-01-16","low",21087.849609375
"nasdaq_100_ndx","2025-01-16","high",21330.58984375
"nasdaq_100_ndx","2025-01-16","close_adjusted",21091.25
"nasdaq_100_ndx","2025-01-15","close",21237.849609375
"nasdaq_100_ndx","2025-01-15","close_adjusted",21237.849609375
"nasdaq_100_ndx","2025-01-15","high",21286.009765625
"nasdaq_100_ndx","2025-01-15","low",21024.26953125
"nasdaq_100_ndx","2025-01-15","open",21067.810546875
"nasdaq_100_ndx","2025-01-15","volume",7260250000
"nasdaq_100_ndx","2025-01-14","close",20757.41015625
"nasdaq_100_ndx","2025-01-14","volume",7168110000
"nasdaq_100_ndx","2025-01-14","close_adjusted",20757.41015625
"nasdaq_100_ndx","2025-01-14","high",20969.51953125
"nasdaq_100_ndx","2025-01-14","low",20622.720703125
"nasdaq_100_ndx","2025-01-14","open",20896.359375
"nasdaq_100_ndx","2025-01-13","open",20593.650390625
"nasdaq_100_ndx","2025-01-13","volume",7830760000
"nasdaq_100_ndx","2025-01-13","close",20784.720703125
"nasdaq_100_ndx","2025-01-13","close_adjusted",20784.720703125
"nasdaq_100_ndx","2025-01-13","high",20797.099609375
"nasdaq_100_ndx","2025-01-13","low",20538.330078125
"nasdaq_100_ndx","2025-01-10","volume",8608880000
"nasdaq_100_ndx","2025-01-10","close",20847.580078125
"nasdaq_100_ndx","2025-01-10","close_adjusted",20847.580078125
"nasdaq_100_ndx","2025-01-10","high",21015.509765625
"nasdaq_100_ndx","2025-01-10","low",20718.779296875
"nasdaq_100_ndx","2025-01-10","open",21012.2890625
"nasdaq_100_ndx","2025-01-08","close_adjusted",21180.970703125
"nasdaq_100_ndx","2025-01-08","close",21180.970703125
"nasdaq_100_ndx","2025-01-08","volume",8851720000
"nasdaq_100_ndx","2025-01-08","open",21156.759765625
"nasdaq_100_ndx","2025-01-08","low",20992.080078125
"nasdaq_100_ndx","2025-01-08","high",21242.609375
"nasdaq_100_ndx","2025-01-07","close",21173.0390625
"nasdaq_100_ndx","2025-01-07","open",21619.890625
